Fecha Comportamiento_de_la_accion Diferencia_absoluta_open-high
2021-05-03 BAJA -0.9399980000000028
2021-05-04 BAJA -0.6699979999999996
2021-05-05 BAJA -1.3900000000000006
2021-05-06 ESTABLE 0.3300010000000029
2021-05-07 BAJA -0.9799990000000065
2021-05-10 BAJA -1.1999970000000033
2021-05-11 SUBE 3.360000999999997
2021-05-12 BAJA -1.1699979999999996
2021-05-13 BAJA -1.5699990000000028
2021-05-14 SUBE 1.119999
2021-05-17 ESTABLE 0.3699980000000025
2021-05-18 SUBE 0.5900010000000009
2021-05-19 ESTABLE 0.7299989999999994
2021-05-20 SUBE 1.4799990000000065
2021-05-21 BAJA -0.5499989999999997
2021-05-24 SUBE 2.159998999999999
2021-05-25 ESTABLE -0.34999799999999937
2021-05-26 ESTABLE 0.4799989999999994
2021-05-27 SUBE 0.44000299999999726
2021-05-28 ESTABLE -0.20000100000000032
2021-06-01 BAJA -0.7600020000000001
2021-06-02 ESTABLE -0.11999899999999997
2021-06-03 SUBE 0.04999899999999968
2021-06-04 SUBE 1.5900000000000034
2021-06-07 SUBE 1.010002
2021-06-08 BAJA -0.9799999999999969
2021-06-09 ESTABLE 0.11999899999999997
2021-06-10 SUBE 0.5
2021-06-11 SUBE 0.5499989999999997
2021-06-14 ESTABLE -0.019995999999999015
2021-06-15 BAJA -0.8600000000000065
2021-06-16 BAJA -0.18999900000000025
2021-06-17 SUBE 1.0999980000000065
2021-06-18 ESTABLE 0.649996999999999
2021-06-21 SUBE 1.110001000000004
2021-06-22 SUBE 1.860000999999997
2021-06-23 SUBE 2.5799980000000033
2021-06-24 SUBE 1.5
2021-06-25 BAJA -0.3600009999999969
2021-06-28 ESTABLE 0.12999700000000303
2021-06-29 SUBE 0.7200009999999963
2021-06-30 ESTABLE 0.049995999999993046
2021-07-01 ESTABLE -0.45999899999999627
2021-07-02 SUBE 0.48999799999999993
2021-07-06 SUBE 0.8600009999999969
2021-07-07 BAJA -1.869995000000003
2021-07-08 BAJA -0.16999800000000675
2021-07-09 SUBE 1.9000010000000032
2021-07-12 ESTABLE 0.40000200000000063
2021-07-13 ESTABLE 0.05999699999999564
2021-07-14 ESTABLE -0.15000100000000316
2021-07-15 BAJA -2.029998000000006
2021-07-16 BAJA -2.1499939999999924
2021-07-19 SUBE 0.7799990000000037
2021-07-20 SUBE 1.6900020000000069
2021-07-21 SUBE 1.9500050000000044
2021-07-22 SUBE 0.9300009999999901
2021-07-23 BAJA -0.5099949999999893
2021-07-26 BAJA -2.559997999999993
2021-07-27 ESTABLE 0.010002000000000066
2021-07-28 SUBE 1.5699999999999932
2021-07-29 SUBE 0.870002999999997
2021-07-30 ESTABLE -0.08000199999999325
2021-08-02 BAJA -1.1000059999999934
2021-08-03 BAJA -1.240005999999994
2021-08-04 ESTABLE 0.019996999999989384
2021-08-05 SUBE 0.4300010000000043
2021-08-06 BAJA -1.9300000000000068
2021-08-09 ESTABLE -0.48999799999999993
2021-08-10 BAJA -1.5199969999999894
2021-08-11 ESTABLE -0.33000200000000746
2021-08-12 ESTABLE 0.1399990000000031
2021-08-13 ESTABLE -0.16999800000000675
2021-08-16 BAJA -0.5599970000000027
2021-08-17 BAJA -0.4599990000000034
2021-08-18 ESTABLE -0.7299989999999994
2021-08-19 SUBE 0.45999899999999627
2021-08-20 ESTABLE 0.3899990000000031
2021-08-23 SUBE 0.9299960000000027
2021-08-24 BAJA -0.8599960000000024
2021-08-25 SUBE 0.21999700000000644
2021-08-26 BAJA -1.3499980000000065
2021-08-27 SUBE 0.7099989999999963
2021-08-30 SUBE 0.9999959999999959
2021-08-31 ESTABLE -0.019997000000003595
2021-09-01 SUBE 0.9000010000000032
2021-09-02 BAJA -1.370002999999997
2021-09-03 ESTABLE 0.23000399999999388
2021-09-07 ESTABLE 0.27000400000000013
2021-09-08 BAJA -2.6700020000000038
2021-09-09 ESTABLE 0.09999800000000647
2021-09-10 BAJA -1.3900000000000006
2021-09-13 BAJA -1.639999000000003
2021-09-14 ESTABLE 0.11999899999999997
2021-09-15 SUBE 1.740002000000004
2021-09-16 SUBE 0.7600020000000001
2021-09-17 ESTABLE 0.3700030000000041
2021-09-20 BAJA -0.20000100000000032
2021-09-21 SUBE 1.2700009999999935
2021-09-22 SUBE 2.2000010000000003
2021-09-23 SUBE 1.9000010000000032
2021-09-24 SUBE 1.130004999999997
2021-09-27 BAJA -1.239998
2021-09-28 BAJA -1.9099999999999966
2021-09-29 BAJA -2.869999
